brand,headline,link,date
Amazon,"Prime Video and NBA announce landmark 11-year global media-rights deal","https://advertising.amazon.com/blog/prime-video-nba-2025-deal",2024-07-25
Amazon,"Prime set for debut as NBA partner — how the deal got done","https://www.sportsbusinessjournal.com/Articles/2025/10/13/as-amazon-prime-video-preps-for-debut-as-nbas-newest-media-partner-heres-how-the-deal-got-delivered/",2025-10-13
Amazon,"Amazon Ads adds programmatic access to NBA League Pass (season launch)","https://advertising.amazon.com/library/news/nba-2025-season-launch",2025-10-24
Amazon,"Prime Video to stream the Masters (new streaming window from 2026)","https://apnews.com/article/b14ba89e636918d79e6f055684960ada",2025-10-02
Warner Brothers HBO,"WBD to separate into two companies: Streaming & Studios vs Global Networks (official)","https://www.wbd.com/news/warner-bros-discovery-separate-two-leading-media-companies",2025-06-09
Warner Brothers HBO,"WBD: Max will become HBO Max this summer (official)","https://press.wbd.com/us/media-release/warner-bros-discovery-announces-max-become-hbo-max-summer",2025-05-14
Warner Brothers HBO,"HBO Max rebrand goes live July 9 (trade coverage)","https://www.hollywoodreporter.com/business/digital/hbo-max-name-return-date-rebrand-warner-bros-discovery-1236309674/",2025-07-08
Warner Brothers HBO,"Reuters: WBD revives HBO Max branding globally","https://www.reuters.com/business/warner-bros-discovery-revives-hbo-max-branding-global-push-2025-05-14/",2025-05-14
Netflix,"Netflix and Universal expand U.S. licensing deal — live-action films from 2027 (official)","https://about.netflix.com/news/netflix-and-universal-filmed-entertainment-group-expand-us-licensing-deal",2024-10-29
Netflix,"Variety: Netflix–Universal live-action from 2027; renews animation pact","https://variety.com/2024/digital/news/netflix-universal-deal-live-action-films-2027-1236193696/",2024-10-29
Netflix,"The Verge: Netflix’s Universal deal adds more live-action films","https://www.theverge.com/2024/10/29/24282823/netflix-licensing-deal-universal-films-live-action-animation",2024-10-29
Netflix,"ScreenDaily: Netflix–Universal expand U.S. licensing (features)","https://www.screendaily.com/news/netflix-universal-filmed-entertainment-group-expand-us-licensing-deal-for-features/5198644.article",2024-10-29
